Date,Nation,Metric,Deaths
22/04/2020,England,CumDeathsByDate,21341
22/04/2020,Wales,CumDeathsByDate,804
22/04/2020,Northern Ireland,CumDeathsByDate,
23/04/2020,Northern Ireland,CumDeathsByDate,
23/04/2020,Scotland,CumDeathsByDate,
23/04/2020,England,CumDeathsByDate,21952
23/04/2020,Wales,CumDeathsByDate,822
24/04/2020,England,CumDeathsByDate,22579
24/04/2020,Wales,CumDeathsByDate,853
24/04/2020,Northern Ireland,CumDeathsByDate,
24/04/2020,Scotland,CumDeathsByDate,
25/04/2020,Scotland,CumDeathsByDate,
25/04/2020,England,CumDeathsByDate,23153
25/04/2020,Wales,CumDeathsByDate,882
25/04/2020,Northern Ireland,CumDeathsByDate,
26/04/2020,Northern Ireland,CumDeathsByDate,
26/04/2020,Scotland,CumDeathsByDate,
26/04/2020,England,CumDeathsByDate,23731
26/04/2020,Wales,CumDeathsByDate,898
27/04/2020,Wales,CumDeathsByDate,914
27/04/2020,England,CumDeathsByDate,24256
27/04/2020,Northern Ireland,CumDeathsByDate,
27/04/2020,Scotland,CumDeathsByDate,
28/04/2020,Scotland,CumDeathsByDate,
28/04/2020,England,CumDeathsByDate,24786
28/04/2020,Wales,CumDeathsByDate,929
28/04/2020,Northern Ireland,CumDeathsByDate,
29/04/2020,Northern Ireland,CumDeathsByDate,
29/04/2020,Scotland,CumDeathsByDate,
29/04/2020,England,CumDeathsByDate,25308
29/04/2020,Wales,CumDeathsByDate,955
30/04/2020,England,CumDeathsByDate,25818
30/04/2020,Wales,CumDeathsByDate,971
30/04/2020,Northern Ireland,CumDeathsByDate,
30/04/2020,Scotland,CumDeathsByDate,
01/05/2020,Scotland,CumDeathsByDate,
01/05/2020,Wales,CumDeathsByDate,1000
01/05/2020,England,CumDeathsByDate,26327
01/05/2020,Northern Ireland,CumDeathsByDate,
02/05/2020,Northern Ireland,CumDeathsByDate,
02/05/2020,Scotland,CumDeathsByDate,
02/05/2020,Wales,CumDeathsByDate,1014
02/05/2020,England,CumDeathsByDate,26785
03/05/2020,England,CumDeathsByDate,27209
03/05/2020,Wales,CumDeathsByDate,1028
03/05/2020,Northern Ireland,CumDeathsByDate,
03/05/2020,Scotland,CumDeathsByDate,
04/05/2020,Scotland,CumDeathsByDate,
04/05/2020,England,CumDeathsByDate,27659
04/05/2020,Wales,CumDeathsByDate,1051
04/05/2020,Northern Ireland,CumDeathsByDate,
05/05/2020,Northern Ireland,CumDeathsByDate,
05/05/2020,Scotland,CumDeathsByDate,
05/05/2020,England,CumDeathsByDate,28095
05/05/2020,Wales,CumDeathsByDate,1068
06/05/2020,England,CumDeathsByDate,28529
06/05/2020,Wales,CumDeathsByDate,1091
06/05/2020,Northern Ireland,CumDeathsByDate,
06/05/2020,Scotland,CumDeathsByDate,
07/05/2020,Scotland,CumDeathsByDate,
07/05/2020,England,CumDeathsByDate,28973
07/05/2020,Wales,CumDeathsByDate,1110
07/05/2020,Northern Ireland,CumDeathsByDate,
08/05/2020,Northern Ireland,CumDeathsByDate,
