Date,Nation,Metric,Vaccine
17/08/2021,England,CumFullyVaccByDate,33352037
17/08/2021,Scotland,CumFullyVaccByDate,3416668
18/08/2021,Scotland,CumFullyVaccByDate,3430752
18/08/2021,England,CumFullyVaccByDate,33499741
19/08/2021,England,CumFullyVaccByDate,33654853
19/08/2021,Scotland,CumFullyVaccByDate,3444507
20/08/2021,Scotland,CumFullyVaccByDate,3458879
20/08/2021,England,CumFullyVaccByDate,33802968
21/08/2021,England,CumFullyVaccByDate,33979890
21/08/2021,Scotland,CumFullyVaccByDate,3474203
22/08/2021,Scotland,CumFullyVaccByDate,3488243
22/08/2021,England,CumFullyVaccByDate,34076704
23/08/2021,England,CumFullyVaccByDate,34189737
23/08/2021,Scotland,CumFullyVaccByDate,3503212
24/08/2021,Scotland,CumFullyVaccByDate,3519622
24/08/2021,England,CumFullyVaccByDate,34314009
25/08/2021,England,CumFullyVaccByDate,34442533
25/08/2021,Scotland,CumFullyVaccByDate,3534005
26/08/2021,Scotland,CumFullyVaccByDate,3545191
26/08/2021,England,CumFullyVaccByDate,34570912
27/08/2021,England,CumFullyVaccByDate,34687591
27/08/2021,Scotland,CumFullyVaccByDate,3556009
28/08/2021,Scotland,CumFullyVaccByDate,3570305
28/08/2021,England,CumFullyVaccByDate,34806257
29/08/2021,England,CumFullyVaccByDate,34872100
29/08/2021,Scotland,CumFullyVaccByDate,3583104
30/08/2021,Scotland,CumFullyVaccByDate,3595010
30/08/2021,England,CumFullyVaccByDate,34924745
31/08/2021,England,CumFullyVaccByDate,35029686
31/08/2021,Scotland,CumFullyVaccByDate,3605317
01/09/2021,Scotland,CumFullyVaccByDate,3613440
01/09/2021,England,CumFullyVaccByDate,35131435
